P_over_P0,Vol_cc_g_STP
0.005322,115.1589
0.045584,164.8246
0.071411,178.9323
0.104542,192.858
0.137092,204.4569
0.167782,213.7483
0.199929,223.1218
0.231601,232.0547
0.270085,242.2847
0.29648,249.1505
0.33786,259.6787
0.367338,267.6977
0.399852,275.7989
0.405578,277.2898
0.426236,285.3023
0.433347,283.7076
0.4441,295.3766
0.466864,317.2131
0.470484,292.7702
0.487765,327.3507
0.505209,299.9648
0.507309,331.7804
0.528076,334.3479
0.536787,307.523
0.552814,336.6962
0.566897,337.9671
0.571155,314.5203
0.597998,340.1754
0.604026,321.4192
0.618121,341.584
0.639824,342.8798
0.640897,327.7523
0.656344,343.992
0.675323,333.6796
0.68295,345.5308
0.702546,346.2821
0.707733,337.771
0.722936,347.019
0.736916,347.7097
0.741401,342.2722
0.769698,349.2507
0.775363,345.3203
0.787276,350.2987
0.800111,351.2035
0.812541,347.6997
0.828141,351.6508
0.848022,350.9166
0.854969,353.0721
0.870684,354.2335
0.878129,352.9583
0.891632,354.589
0.914074,355.3087
0.914658,355.6664
0.93668,356.9372
0.952813,358.0121
0.960338,358.8984
0.98439,361.9254
0.986966,363.8439
